id,State_Name,Mean,Median,Stdev,sum_w
1011000,Alabama,38773,30506,33101,1638.260513
1011010,Alabama,37725,19528,43789,258.0176847
1011020,Alabama,54606,31930,57348,926.0309998
1011030,Alabama,63919,52814,47707,378.1146191
1011040,Alabama,77948,67225,54270,282.3203278
1011050,Alabama,50715,42643,35886,173.3259586
1011060,Alabama,33737,23610,28256,758.7713224
1011070,Alabama,46319,40242,38941,397.0525642
1011080,Alabama,57994,39591,47235,137.4960385
1011090,Alabama,54807,41712,51359,380.7282381
1011100,Alabama,47929,38947,44430,3621.630319
1011110,Alabama,42251,28811,41397,10716.13924
1011120,Alabama,27993,19757,27656,553.4382141
1011130,Alabama,31229,22745,27452,528.0848847
1011140,Alabama,36439,21136,45043,775.2524846
1011150,Alabama,56934,39047,53934,37.26433151
1011160,Alabama,41057,21608,45280,770.5658392
1011170,Alabama,93682,300000,55763,359.4448283
1011180,Alabama,57202,46738,44401,1140.74819
1011190,Alabama,49699,34049,48287,77.3974208
1011200,Alabama,51926,300000,28590,179.8272518
1011210,Alabama,44572,34725,36562,152.1953912
1011220,Alabama,56029,31635,62581,65.43145682
1011230,Alabama,51098,43794,32431,46.1990035
1011240,Alabama,45465,36849,45634,129.8286383
1011250,Alabama,67392,48713,54529,74.13138169
1011260,Alabama,43767,30427,38304,210.1906399
1011270,Alabama,48074,39817,37964,1376.65118
1011280,Alabama,53330,38231,50855,51243.64837
1011290,Alabama,42079,28180,39942,1081.054675
1011300,Alabama,60729,49109,48170,3371.984785
1011310,Alabama,32466,17389,31851,56.33131773
1011320,Alabama,62410,54115,47114,5311.537683
1011330,Alabama,55199,40430,48856,7259.667898
1011340,Alabama,22603,6190,29054,9.998088877
1011350,Alabama,86605,79218,52491,695.8472292
1011360,Alabama,63066,57698,41175,949.1158077
1011370,Alabama,53597,39054,39602,495.2513173
1011380,Alabama,39220,29055,33077,1046.499294
1011390,Alabama,39218,25895,48015,224.0261514
1011400,Alabama,55127,44609,39231,87.19666096
1011410,Alabama,59567,52275,43545,3110.486087
1011420,Alabama,63758,45844,53244,262.0860412
1011430,Alabama,57098,45637,48651,1326.288805
1011440,Alabama,72297,300000,21067,20.99903996
1011450,Alabama,51907,39657,46146,690.5073125
1011460,Alabama,55849,50493,42845,502.5720951
1011470,Alabama,55230,47636,45298,4174.795849
1011480,Alabama,55815,38843,54867,21342.43715
1011490,Alabama,49554,39263,40901,2423.153275
1011500,Alabama,0,0,0,0
1011510,Alabama,71026,60438,56646,41.69719615
1011520,Alabama,58314,49030,50015,169.126957
